Title,Body,Labels,Milestone,Assignees
"[STORY-C1] Trigger missing-check questions","Parent: EPIC-C

Create question when expected daily check is missing by zone/time block.

Acceptance:
- Trigger creates one active question per condition window","story,questions,priority:P0","M3: Proactive Question Engine",""
"[STORY-C2] Trigger livestock mismatch questions","Parent: EPIC-C

Create question when count mismatch exceeds threshold.

Acceptance:
- High-priority question with due time and context","story,questions,livestock,priority:P0","M3: Proactive Question Engine",""
"[STORY-C3] Build role-based question inbox","Parent: EPIC-C

Manager sees all relevant; staff sees assigned.

Acceptance:
- Visibility matches role policy","story,questions,security,priority:P0","M3: Proactive Question Engine",""
"[STORY-C4] Add typed response submission flow","Parent: EPIC-C

Support yes/no, numeric, text, choice, evidence request response types.

Acceptance:
- Response persists and queue status updates to answered","story,questions,priority:P0","M3: Proactive Question Engine",""
"[STORY-D1] Generate category-based recommendations","Parent: EPIC-D

Implement generation by operational categories and trigger context.

Acceptance:
- Recommendations emitted with category and rationale","story,recommendations,priority:P0","M4: Recommendation Engine v1",""
"[STORY-D2] Implement ranking and expiry logic","Parent: EPIC-D

Implement confidence*impact*urgency/effort ranking and expiry pruning.

Acceptance:
- Sorted recommendations and stale suppression","story,recommendations,priority:P0","M4: Recommendation Engine v1",""
"[STORY-D3] Build recommendation cards with explainability","Parent: EPIC-D

Display why now, triggering data points, and expected effect.

Acceptance:
- Explainability visible on all recommendation cards","story,recommendations,ux,priority:P0","M4: Recommendation Engine v1",""
"[STORY-D4] Implement recommendation action lifecycle","Parent: EPIC-D

Add accept/modify/defer/reject/execute with audit logs.

Acceptance:
- Action updates status and inserts action trail","story,recommendations,priority:P0","M4: Recommendation Engine v1",""
"[STORY-E1] Capture 1/7/30/90-day outcomes","Parent: EPIC-E

Implement outcome records for executed recommendations.

Acceptance:
- Outcomes persist and query correctly by window","story,learning,priority:P1","M5: Learning Loop + External Signals",""
"[STORY-E2] Adaptive weighting from outcomes","Parent: EPIC-E

Adjust recommendation confidence/priority using historical outcomes.

Acceptance:
- Weight changes affect future ordering","story,learning,priority:P1","M5: Learning Loop + External Signals",""
"[STORY-E3] Suppress repetitive low-value prompts","Parent: EPIC-E

Detect repetition patterns and reduce nuisance prompts.

Acceptance:
- Repeat low-value prompt rate declines","story,learning,priority:P2","M5: Learning Loop + External Signals",""
"[STORY-F1] Integrate weather feed and weather triggers","Parent: EPIC-F

Ingest weather and generate weather-risk recommendations.

Acceptance:
- Heavy-rain scenario produces valid recommendations","story,weather,priority:P1","M5: Learning Loop + External Signals",""
"[STORY-F2] Integrate market feed and market triggers","Parent: EPIC-F

Ingest market price signals and generate harvest timing guidance.

Acceptance:
- Price-shock scenario produces financial recommendations","story,market,priority:P1","M5: Learning Loop + External Signals",""
"[STORY-F3] Implement external feed degraded mode","Parent: EPIC-F

Detect outages and mark stale data while keeping app operational.

Acceptance:
- Warning shown; core actions continue functioning","story,resilience,priority:P0","M5: Learning Loop + External Signals",""
"[STORY-G1] Validate Plot 12 precision boundary","Parent: EPIC-G

Complete precision verification and update geometry if needed.

Acceptance:
- Boundary validated against field confirmation","story,geospatial,priority:P0","M1: Map Command Center Foundation",""
"[STORY-G2] Map and geocode water points","Parent: EPIC-G

Capture and store water point locations and metadata.

Acceptance:
- Water points visible as infrastructure layer","story,geospatial,infrastructure,priority:P0","M2: Action Workflows + Daily Operations",""
"[STORY-G3] Map gate points and access status","Parent: EPIC-G

Capture gate locations and operational state.

Acceptance:
- Gates visible and queryable","story,geospatial,infrastructure,priority:P0","M2: Action Workflows + Daily Operations",""
"[STORY-G4] Digitize fence segments","Parent: EPIC-G

Create 1 km fence segment geometries and status attributes.

Acceptance:
- Fence layer displays complete route and status","story,geospatial,infrastructure,priority:P0","M2: Action Workflows + Daily Operations",""
"[STORY-H1] Run manager/staff RLS negative and positive QA","Parent: EPIC-H

Execute role-based QA scripts and record evidence.

Acceptance:
- Protected operations denied for staff and allowed for manager","story,security,priority:P0","M6: Hardening + Go-Live",""
"[STORY-H2] Add trigger/recommendation telemetry dashboards","Parent: EPIC-H

Track generation counts, latency, error rates, and action conversion.

Acceptance:
- Dashboards available for release readiness","story,observability,priority:P1","M6: Hardening + Go-Live",""
"[STORY-H3] Performance and crash hardening","Parent: EPIC-H

Profile map/drawer/render performance and fix bottlenecks.

Acceptance:
- Performance targets met, no P0 crash defects","story,performance,priority:P0","M6: Hardening + Go-Live",""
"[STORY-H4] Release gate checklist execution","Parent: EPIC-H

Execute release gate checklist and sign-off report.

Acceptance:
- All P0 acceptance criteria marked pass","story,release,priority:P0","M6: Hardening + Go-Live",""
